id,postcode,latitude,longitude
724760,NE9 7PP,54.91901012,-1.551381904
724761,NE9 7PQ,54.91882142,-1.551103
724762,NE9 7PR,54.91961408,-1.551890029
724763,NE9 7PS,54.91939104,-1.552329338
724764,NE9 7PT,54.92032463,-1.544799064
724765,NE9 7PU,54.92183381,-1.544657221
724766,NE9 7PX,54.92141485,-1.545566859
724767,NE9 7PY,54.91890389,-1.549386165
724768,NE9 7PZ,54.92390846,-1.549158639
724769,NE9 7QA,54.9249864,-1.571412476
724770,NE9 7QB,54.92529727,-1.570379349
724771,NE9 7QD,54.92589085,-1.57051346
724772,NE9 7QE,54.92552926,-1.569908774
724773,NE9 7QF,54.92434266,-1.569796599
724774,NE9 7QG,54.92053409,-1.555265351
724775,NE9 7QH,54.91873057,-1.558483405
724776,NE9 7QJ,54.92239591,-1.555712898
724777,NE9 7QL,54.92005778,-1.555255
724778,NE9 7QN,54.92003521,-1.556629
724779,NE9 7QP,54.91963124,-1.556570203
724780,NE9 7QQ,54.91962367,-1.556960316
724781,NE9 7QR,54.91945544,-1.557648614
724782,NE9 7QS,54.91896115,-1.557638431
724783,NE9 7QT,54.91883381,-1.557218603
724784,NE9 7QU,54.91866291,-1.557173676
724785,NE9 7QW,54.922116,-1.555217
724786,NE9 7QX,54.9187671,-1.556174076
724787,NE9 7QY,54.91832798,-1.55650652
724788,NE9 7QZ,54.921419,-1.553619003
724789,NE9 7RA,54.9179426,-1.556791566
724790,NE9 7RB,54.91762,-1.556811
724791,NE9 7RD,54.91738511,-1.554239232
724792,NE9 7RE,54.91745562,-1.553864044
724793,NE9 7RF,54.91996235,-1.556192132
724794,NE9 7RH,54.91904168,-1.555078987
724795,NE9 7RJ,54.91875,-1.553815259
724796,NE9 7RL,54.91937806,-1.553686779
724797,NE9 7RN,54.91924481,-1.554109481
724798,NE9 7RP,54.91948801,-1.554262806
724799,NE9 7RQ,54.9198795,-1.553197592
724800,NE9 7RR,54.91937634,-1.553218764
724801,NE9 7RS,54.91920262,-1.552409433
724802,NE9 7RT,54.91886282,-1.552865629
724803,NE9 7RU,54.91869918,-1.552352614
724804,NE9 7RX,54.91827637,-1.552232499
724805,NE9 7RY,54.91758181,-1.551522586
724806,NE9 7SA,54.91755703,-1.552115677
724807,NE9 7SB,54.91697974,-1.551529277
724808,NE9 7SD,54.91690935,-1.551935664
724809,NE9 7SE,54.91650613,-1.552252141
724810,NE9 7SH,54.91698712,-1.55109239
724811,NE9 7SJ,54.91754206,-1.550493401
724812,NE9 7SL,54.91792932,-1.550723096
724813,NE9 7SN,54.9190581,-1.552208223
724815,NE9 7SQ,54.920046,-1.559233
724816,NE9 7ST,54.91808911,-1.550190895
724817,NE9 7SX,54.91998006,-1.553664519
724819,NE99 1ZN,54.96736656,-1.615383
724820,NE99 1ZP,54.96736656,-1.615383
724821,NE99 1ZW,54.96736656,-1.615383
724822,NE99 2AA,54.96736656,-1.615383
724825,NE9 7SZ,54.91580832,-1.553102268
724826,NE9 7TA,54.92659684,-1.595581394
724827,NE9 7TB,54.921719,-1.590404
